disease,drug
Rabies Prophylaxis,"rabies immune globulin, human/rabies vaccine, purified chick embryo cell/rabies vaccine, human diploid cell"
Radiation Emergency,potassium iodide/pentetate calcium trisodium/prussian blue/pentetate zinc trisodium
Radiculopathy,naproxen/ibuprofen
Radionuclide Myocardial Perfusion Study,dipyridamole/adenosine/regadenoson
Ramsay Hunt Syndrome,acyclovir/prednisone/valacyclovir
Rat-bite Fever,penicillin v potassium/penicillin g sodium/penicillin g potassium/procaine penicillin
Raynaud's Syndrome,nifedipine/amlodipine/diltiazem/nitroglycerin/felodipine/prazosin/trolamine salicylate/doxazosin/isoxsuprine/isradipine/nisoldipine
Reduction of Perinatal Transmission of HIV,zidovudine/nevirapine
Reflex Sympathetic Dystrophy Syndrome,gabapentin/trazodone/amitriptyline/nortriptyline/milnacipran/pregabalin/doxepin/carbamazepine
"Refraction, Assessment",cyclopentolate/atropine/tropicamide/homatropine
Rejection Prophylaxis,mycophenolic acid/belatacept/muromonab-cd3
Renal Arteriography,iodixanol/ioversol
Renal Cell Carcinoma,pazopanib/sunitinib/axitinib/nivolumab/sorafenib/everolimus/bevacizumab/cabozantinib/medroxyprogesterone/aldesleukin/capecitabine/temsirolimus/lenvatinib
Renal Failure,furosemide/torsemide/ethacrynic acid
Renal Osteodystrophy,calcitriol/ergocalciferol/calcifediol
Renal Transplant,"furosemide/azathioprine/anti-thymocyte globulin (rabbit)/lymphocyte immune globulin, anti-thy (equine)"
Respiratory Distress Syndrome,beractant/poractant/calfactant
Respiratory Failure,nitric oxide/caffeine / sodium benzoate
Respiratory Syncytial Virus,ribavirin/palivizumab
Restless Legs Syndrome,ropinirole/pramipexole/gabapentin/clonazepam/tramadol/carbidopa / levodopa/pregabalin/clonidine/gabapentin enacarbil/rotigotine/lamotrigine/levodopa
"Revascularization Procedures, Prophylaxis",aspirin/pravastatin
Reversal of Neuromuscular Blockade,neostigmine/sugammadex
Reversal of Nondepolarizing Muscle Relaxants,pyridostigmine/neostigmine/sugammadex/atropine / edrophonium
"Reversible Airways Disease, Maintenance",budesonide/beclomethasone
Rhabdomyosarcoma,vincristine/dactinomycin
Rheumatic Fever Prophylaxis,penicillin v potassium/erythromycin/sulfadiazine/penicillin g benzathine
Rheumatoid Arthritis,methotrexate/prednisone/meloxicam/hydroxychloroquine/sulfasalazine/leflunomide/diclofenac/naproxen/celecoxib/acetaminophen / hydrocodone/ibuprofen
Rhinitis,fluticasone/brompheniramine / phenylephrine/chlorpheniramine / methscopolamine / phenylephrine
Rhinorrhea,ipratropium/doxylamine/acetaminophen / chlorpheniramine/triprolidine/acetaminophen / dextromethorphan / doxylamine / phenylephrine/acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine/brompheniramine / codeine/chlophedianol / dexbrompheniramine/dexbrompheniramine / phenylephrine/dextromethorphan / pyrilamine
Rickets,calcitriol/ergocalciferol
Rickettsial Infection,doxycycline/chloramphenicol/tetracycline
Rosacea,doxycycline/metronidazole/minocycline/azelaic acid/sulfacetamide sodium / sulfur/isotretinoin/ivermectin/brimonidine
Rubella Prophylaxis,measles virus vaccine / mumps virus vaccine / rubella virus vaccine/measles virus vaccine / mumps virus vaccine / rubella virus vaccine / varicella virus vaccine
SAPHO Syndrome,etanercept/infliximab
SIADH,demeclocycline/conivaptan
STD Prophylaxis,azithromycin/doxycycline/metronidazole/ceftriaxone/cefixime
Salmonella Enteric Fever,ciprofloxacin/ofloxacin/ceftriaxone
Salmonella Gastroenteritis,ciprofloxacin/ceftriaxone/ofloxacin/cefotaxime
Sarcoidosis,prednisone/azathioprine/corticotropin/chloroquine/dexamethasone/infliximab/triamcinolone/colchicine/adalimumab/cortisone
Scabies,permethrin/ivermectin/crotamiton/lindane
Schilling Test,cyanocobalamin/hydroxocobalamin
Schizoaffective Disorder,quetiapine/lithium/risperidone/lamotrigine/olanzapine/aripiprazole/carbamazepine/ziprasidone/fluoxetine/paliperidone/lurasidone
Schizophrenia,risperidone/clozapine/olanzapine/quetiapine/aripiprazole/chlorpromazine/paliperidone/ziprasidone/loxapine
Sciatica,cyclobenzaprine/naproxen/diclofenac/ibuprofen/acetaminophen/diclofenac / misoprostol/aspirin
Scleroderma,methotrexate/prednisone/cyclophosphamide
Scrapes,vitamin a & d/benzethonium chloride
Seasonal Allergic Conjunctivitis,olopatadine/ketorolac/loteprednol
Seborrheic Dermatitis,ketoconazole/clobetasol/ciclopirox/hydrocortisone/selenium sulfide/prednisone/fluocinolone/pyrithione zinc/sulfacetamide sodium/dexamethasone/sulfacetamide sodium / sulfur/coal tar
Secondary Cutaneous Bacterial Infections,mupirocin/sulfacetamide sodium
Secondary Hyperparathyroidism,calcitriol/paricalcitol/cinacalcet/doxercalciferol
Sedation,trazodone/hydroxyzine/lorazepam/promethazine/fentanyl/dexmedetomidine/phenobarbital/secobarbital
Seizure Prevention (Seizure Prophylaxis),lamotrigine/clonazepam/topiramate/diazepam/valproic acid/magnesium sulfate/clorazepate/acetazolamide
Seizures (Convulsions),levetiracetam/phenobarbital/phenytoin/diazepam/oxcarbazepine/zonisamide/topiramate/valproic acid/primidone
Sepsis,vancomycin/ceftriaxone/cefuroxime/ceftazidime/cefotaxime/tobramycin/filgrastim
Septicemia,cilastatin / imipenem/ceftazidime/cefotaxime/ceftriaxone/piperacillin/oxacillin/cefazolin/ampicillin/cefoxitin/penicillin g potassium/penicillin g sodium
Severe Mood Dysregulation,risperidone/citalopram/methylphenidate
"Sexual Dysfunction, SSRI Induced",buspirone/sildenafil/bupropion/dextroamphetamine/cyproheptadine/amantadine
Shift Work Sleep Disorder,modafinil/armodafinil
Shigellosis,ciprofloxacin/sulfamethoxazole / trimethoprim/ceftriaxone/ampicillin/ofloxacin
Shock,dopamine/norepinephrine/epinephrine/hydrocortisone/dobutamine/methylprednisolone/dexamethasone/albumin human/phenylephrine
Short Bowel Syndrome,glutamine/teduglutide/somatropin
Shunt Infection,vancomycin/tobramycin
Sialorrhea,incobotulinumtoxinA/rimabotulinumtoxinB
Sinus Symptoms,mometasone/guaifenesin / phenylephrine/ibuprofen / pseudoephedrine/acetaminophen / chlorpheniramine / phenylephrine/acetaminophen / phenylephrine/acetaminophen / pseudoephedrine/dexbrompheniramine / pseudoephedrine/naproxen / pseudoephedrine/acetaminophen / dextromethorphan / phenylephrine
Sinusitis,amoxicillin/prednisone/amoxicillin / clavulanate/cefdinir/azithromycin/levofloxacin/cefuroxime/clarithromycin/ciprofloxacin/clindamycin/sulfamethoxazole / trimethoprim/moxifloxacin
Sjogren's Syndrome,hydroxychloroquine/cevimeline/infliximab
Skin Rash,hydrocortisone/prednisone/diflorasone/tetracaine
Skin and Structure Infection,mupirocin/amoxicillin / clavulanate/azithromycin/gentamicin/ciprofloxacin/minocycline/cefdinir/cefuroxime/clarithromycin/linezolid/cefadroxil/meropenem/ceftriaxone
Skin or Soft Tissue Infection,cephalexin/clindamycin/doxycycline/amoxicillin/ciprofloxacin/amoxicillin / clavulanate/minocycline/azithromycin/metronidazole/clarithromycin/dicloxacillin/levofloxacin/erythromycin/cefdinir
Sleep Paralysis,clonazepam/clomipramine/methylphenidate
Small Cell Lung Cancer,etoposide/topotecan/methotrexate/nivolumab/cyclophosphamide/atezolizumab/pembrolizumab
Small Fiber Neuropathy,gabapentin/duloxetine/pregabalin
Smallpox Prophylaxis,smallpox vaccine/smallpox and monkeypox vaccine
Smoking Cessation,bupropion/nicotine/varenicline/clonidine/topiramate/naltrexone/nortriptyline
Social Anxiety Disorder,sertraline/paroxetine/venlafaxine/fluvoxamine/risperidone/atomoxetine
Soft Tissue Sarcoma,pazopanib/doxorubicin/methotrexate/trabectedin/olaratumab
Solid Tumors,pembrolizumab/methotrexate/hydroxyurea/docetaxel/idarubicin/bevacizumab/larotrectinib/entrectinib
Somatoform Pain Disorder,amitriptyline/venlafaxine/sertraline/escitalopram/fluoxetine/imipramine/duloxetine/milnacipran/citalopram/paroxetine/fluvoxamine/desvenlafaxine
Sore Throat,phenol/benzocaine/benzocaine / menthol/menthol/dyclonine/benzocaine / butamben / tetracaine
Spinal Muscular Atrophy,nusinersen/onasemnogene abeparvovec
Spondyloarthritis,diclofenac/celecoxib/aspirin/adalimumab/etanercept/golimumab
Spondylolisthesis,gabapentin/naproxen/ibuprofen/pregabalin
Sporotrichosis,itraconazole/fluconazole/amphotericin b
Squamous Cell Carcinoma,cetuximab/bleomycin/cemiplimab
Status Epilepticus,lorazepam/diazepam/phenytoin/midazolam/pentobarbital/fosphenytoin
Still's Disease,anakinra/tocilizumab/etanercept
Stomach Cancer,fluorouracil/capecitabine/doxorubicin/mitomycin/ramucirumab
Stomach Ulcer (Gastric Ulcer),omeprazole/pantoprazole/ranitidine/sucralfate/famotidine/lansoprazole/rabeprazole/omeprazole / sodium bicarbonate/misoprostol
Stomatitis,sucralfate/triamcinolone
Strep Throat (Streptococcal Pharyngitis),amoxicillin / clavulanate/cefdinir/clarithromycin/erythromycin/cefuroxime/gemifloxacin
Streptococcal Infection,levofloxacin/penicillin v potassium/procaine penicillin/penicillin g benzathine / procaine penicillin/penicillin g benzathine/penicillin g potassium/penicillin g sodium
Stress Ulcer Prophylaxis,ranitidine/pantoprazole/sucralfate/cimetidine/aluminum hydroxide / magnesium hydroxide
Strongyloidiasis,ivermectin/albendazole
Sunburn,lidocaine/benzocaine/vitamin a & d
Supraventricular Tachycardia,metoprolol/atenolol/diltiazem/verapamil/bisoprolol/amiodarone/adenosine/flecainide/nadolol/phenylephrine/esmolol
Surgical Prophylaxis,ranitidine/clindamycin/cefazolin/metronidazole/vancomycin/cefuroxime/ceftriaxone/ciprofloxacin/gentamicin/cefotaxime/ampicillin
Swine Flu,oseltamivir/zanamivir/peramivir
Synovitis,prednisone/dexamethasone/triamcinolone
"Syphilis, Early",doxycycline/erythromycin/penicillin g benzathine/ceftriaxone/tetracycline
"Syphilis, Latent",doxycycline/penicillin g benzathine/tetracycline/procaine penicillin
Syringomyelia,gabapentin/tramadol/pregabalin
Systemic Fungal Infection,voriconazole/itraconazole/flucytosine
Systemic Lupus Erythematosus,hydroxychloroquine/prednisone/azathioprine/aspirin/mycophenolate mofetil/triamcinolone/belimumab/dexamethasone
Systemic Mastocytosis,cromolyn/omeprazole/lansoprazole/imatinib/midostaurin
Systemic Sclerosis,methotrexate/prednisone/cyclophosphamide/tocilizumab
TSH Suppression,levothyroxine/liothyronine/thyroid desiccated
Tardive Dyskinesia,propranolol/vitamin e/tetrabenazine/valbenazine/clonidine/ropinirole/pramipexole/deutetrabenazine/chlordiazepoxide/bromocriptine/apomorphine
Temporomandibular Joint Disorder,cyclobenzaprine/diazepam/baclofen/ibuprofen/clonazepam/piroxicam
Tendonitis,meloxicam/naproxen/indomethacin/trolamine salicylate/sulindac
Tertiary Syphilis,doxycycline/penicillin g benzathine/tetracycline/procaine penicillin
Testicular Cancer,cisplatin/etoposide/bleomycin/cyclophosphamide/dactinomycin/ifosfamide/vinblastine
Tetanus,methocarbamol/diazepam/tetanus immune globulin/chlorpromazine/penicillin g potassium/penicillin g sodium
Tetanus Prophylaxis,"diphtheria and tetanus toxoids / pertussis, acellular/diphtheria toxoid / pertussis, acellular / tetanus toxoid/diphtheria toxoid / tetanus toxoid/tetanus immune globulin/diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid/diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid/diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid/diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine"
Thalassemia,hydroxyurea/deferasirox/deferiprone
Thrombocythemia,hydroxyurea/anagrelide/busulfan/peginterferon alfa-2b
Thrombocytopenia,prednisone/dexamethasone/eltrombopag/imiglucerase/avatrombopag/lusutrombopag
Thrombocytopenia Idiopathic,triamcinolone/eltrombopag
Thromboembolic Stroke Prophylaxis,aspirin/warfarin/apixaban
Thrombotic/Thromboembolic Disorder,heparin/argatroban/alteplase/urokinase
Thyroid Cancer,thyroid desiccated/sodium iodide-i-131/sorafenib/lenvatinib/doxorubicin/cabozantinib/thyrotropin alpha/vandetanib/dabrafenib/trametinib
Thyroid Suppression Test,levothyroxine/liothyronine
Tinea Capitis,terbinafine/griseofulvin/itraconazole
Tinea Corporis,betamethasone / clotrimazole/ketoconazole/clotrimazole/terbinafine/miconazole/fluconazole/econazole/griseofulvin/tolnaftate/ciclopirox
Tinea Cruris,betamethasone / clotrimazole/ketoconazole/clotrimazole/econazole/fluconazole/terbinafine/miconazole/tolnaftate/ciclopirox/griseofulvin/clioquinol
Tinea Pedis,clotrimazole/ketoconazole/terbinafine/econazole/betamethasone / clotrimazole/tolnaftate/ciclopirox/miconazole/griseofulvin
Tinea Versicolor,ketoconazole/selenium sulfide/fluconazole/clotrimazole/econazole/miconazole/ciclopirox/itraconazole/terbinafine/tolnaftate
Tinnitus,alprazolam/nortriptyline
Tonsillitis/Pharyngitis,amoxicillin/azithromycin/cefuroxime/clarithromycin/cefdinir/cefixime/benzocaine / menthol/cefadroxil/penicillin v potassium/cefaclor/cefpodoxime/phenol
Topical Disinfection,povidone iodine/iodine/isopropyl alcohol/silver nitrate/sodium hypochlorite/benzalkonium chloride
Total Parenteral Nutrition,parenteral nutrition solution w / electrolytes/fat emulsion/parenteral nutrition solution/chromic chloride hexahydrate/trace elements
Tourette's Syndrome,clonidine/guanfacine/topiramate/haloperidol/aripiprazole/pimozide/quetiapine/ziprasidone/olanzapine
Toxic Epidermal Necrolysis,prednisone/dexamethasone/infliximab
Toxoplasmosis,clindamycin/sulfadiazine/pyrimethamine/azithromycin/sulfamethoxazole / trimethoprim/clarithromycin/leucovorin/atovaquone
"Toxoplasmosis, Prophylaxis",sulfamethoxazole / trimethoprim/dapsone/clindamycin/leucovorin/pyrimethamine/sulfadiazine
Trachoma,doxycycline/sulfacetamide sodium/minocycline
Transient Ischemic Attack,clopidogrel/aspirin
Transverse Myelitis,gabapentin/ibuprofen/methylprednisolone/acetaminophen/sertraline/naproxen/dexamethasone
Traveler's Diarrhea,ciprofloxacin/loperamide/rifaximin/sulfamethoxazole / trimethoprim/bismuth subsalicylate/ofloxacin
Trichinosis,mebendazole/albendazole
Trichomoniasis,metronidazole/tinidazole
Trichostrongylosis,mebendazole/pyrantel/albendazole
Trichotillomania,naltrexone/sertraline/clomipramine/fluoxetine/fluvoxamine/paroxetine/citalopram/escitalopram
Trigeminal Neuralgia,carbamazepine/gabapentin/baclofen/oxcarbazepine/topiramate/phenytoin
Trophoblastic Disease,methotrexate/dinoprostone/dactinomycin
Trypanosomiasis,pentamidine/benznidazole
"Tuberculosis, Active",isoniazid / pyrazinamide / rifampin/ethambutol/isoniazid/rifampin/pyrazinamide/isoniazid / rifampin/levofloxacin/moxifloxacin/ciprofloxacin/streptomycin/amikacin
"Tuberculosis, Extrapulmonary",prednisone/cycloserine
"Tuberculosis, Latent",isoniazid/rifampin/pyrazinamide/rifapentine
"Tuberculosis, Prophylaxis",isoniazid/rifampin/rifabutin/bcg/bcg vaccine
"Tuberculosis, Resistant",bedaquiline/aminosalicylic acid/pretomanid
Tuberculous Meningitis,dexamethasone/prednisone
Turner Syndrome,oxandrolone/somatropin
Typhoid Fever,ciprofloxacin/ceftriaxone/azithromycin/ampicillin
Typhoid Prophylaxis,"typhoid vaccine, live/typhoid vaccine, inactivated"
Ulcerative Colitis,mesalamine/azathioprine/sulfasalazine/balsalazide/budesonide/hydrocortisone/infliximab/clonidine
"Ulcerative Colitis, Active",mesalamine/budesonide/balsalazide/sulfasalazine/prednisone/cyclosporine/hydrocortisone/prednisolone/methylprednisolone/olsalazine
"Ulcerative Colitis, Maintenance",mesalamine/sulfasalazine/mercaptopurine/olsalazine/infliximab
Ulcerative Proctitis,mesalamine/hydrocortisone
Underactive Thyroid (Hypothyroidism),levothyroxine/thyroid desiccated/liothyronine/liotrix
Upper GI Hemorrhage,famotidine/cimetidine
Upper Limb Spasticity,onabotulinumtoxinA/abobotulinumtoxinA/incobotulinumtoxinA
Upper Respiratory Tract Infection,amoxicillin/doxycycline/azithromycin/cephalexin/clarithromycin/amoxicillin / clavulanate/sulfamethoxazole / trimethoprim/cefuroxime/erythromycin/cefixime/ampicillin
Urea Cycle Disorders,sodium phenylbutyrate/glycerol phenylbutyrate
Urinary Acidification,ascorbic acid/potassium phosphate / sodium phosphate/potassium acid phosphate
Urinary Alkalinization,sodium bicarbonate/citric acid / sodium citrate/citric acid / potassium citrate / sodium citrate/citric acid / potassium citrate
Urinary Frequency,oxybutynin/tolterodine/mirabegron/solifenacin/trospium/darifenacin/fesoterodine/flavoxate/onabotulinumtoxinA
Urinary Incontinence,oxybutynin/tolterodine/amitriptyline/mirabegron/solifenacin/hyoscyamine/trospium/duloxetine/fesoterodine/darifenacin
Urinary Retention,bethanechol/neostigmine
Urinary Tract Infection,ciprofloxacin/nitrofurantoin/sulfamethoxazole / trimethoprim/amoxicillin/doxycycline/levofloxacin/ceftriaxone/amoxicillin / clavulanate/cefuroxime/trimethoprim/methenamine/ampicillin
Urinary Tract Stones,tamsulosin/allopurinol/magnesium oxide/citric acid / potassium citrate/citric acid / sodium citrate
Urinary Tract Tumors,bcg/valrubicin
Urography,iohexol/iopromide/iodixanol
Urothelial Carcinoma,nivolumab/pembrolizumab/durvalumab/atezolizumab/avelumab/erdafitinib/enfortumab vedotin
Urticaria,cetirizine/fexofenadine/loratadine/ranitidine/doxepin/levocetirizine/diphenhydramine/famotidine/promethazine/chlorpheniramine/omalizumab
Uterine Fibroids,leuprolide/ulipristal
Uveitis,methotrexate/cyclopentolate/atropine/mycophenolate mofetil/dexamethasone/homatropine/azathioprine/prednisolone / sulfacetamide sodium/difluprednate/triamcinolone/sulfasalazine/dexamethasone / tobramycin/dexamethasone / neomycin / polymyxin b
"Uveitis, Posterior",prednisone/dexamethasone
Vaginal Dryness,ospemifene/emollients
Vaginal Yeast Infection,fluconazole/clotrimazole/nystatin/miconazole/terconazole/ketoconazole/itraconazole/tioconazole/boric acid
Varicella-Zoster,acyclovir/valacyclovir/varicella zoster immune globulin/immune globulin intramuscular/foscarnet
"Varicella-Zoster, Prophylaxis",varicella virus vaccine/measles virus vaccine / mumps virus vaccine / rubella virus vaccine / varicella virus vaccine
Varicose Veins,polidocanol/sodium tetradecyl sulfate
Vascular Magnetic Resonance Imaging,gadopentetate dimeglumine/gadobutrol/gadodiamide
Venography,iodixanol/ioversol/iopromide
Venomous Snake Bite,antivenin (crotalidae) polyvalent/antivenin (micrurus fulvius)
Venous Thromboembolism,"dalteparin/apixaban/betrixaban/dextran, low molecular weight"
Ventricular Arrhythmia,sotalol/magnesium sulfate/acebutolol
Ventricular Fibrillation,amiodarone/lidocaine/vasopressin
Ventricular Tachycardia,atenolol/amiodarone/propranolol/flecainide/mexiletine/lidocaine/propafenone/vasopressin/acebutolol
Vertigo,meclizine/promethazine
Visceral Arteriography,ioversol/iohexol
"Visceral Larva Migrans, Toxicariasis",mebendazole/albendazole
Vitamin A Deficiency,vitamin a/beta-carotene
Vitamin B12 Deficiency,cyanocobalamin/hydroxocobalamin
Vitamin D Deficiency,cholecalciferol/ergocalciferol
Vitamin/Mineral Supplementation and Deficiency,multivitamin with minerals/folic acid/ferrous sulfate/multivitamin with iron/chromium picolinate/ergocalciferol/thiamine/selenium/zinc sulfate
Vitamin/Mineral Supplementation during Pregnancy/Lactation,"multivitamin, prenatal/ferrous sulfate/ferrous fumarate/ferrous gluconate"
Vulvodynia,amitriptyline/gabapentin/tramadol/nortriptyline/sertraline/topiramate/fluoxetine/citalopram/venlafaxine/carbamazepine/desipramine/escitalopram/paroxetine
Warts,salicylic acid/fluorouracil/silver nitrate/cantharidin
Weight Loss,phentermine/megestrol/phentermine / topiramate/lorcaserin/liraglutide/bupropion / naltrexone/oxandrolone
Whipworm Infection,mebendazole/albendazole
Wilms' Tumor (Nephroblastoma),paclitaxel/vincristine/doxorubicin/cyclophosphamide/dactinomycin
Wilson's Disease,penicillamine/zinc acetate/trientine
Wolff-Parkinson-White Syndrome,flecainide/propafenone/adenosine
Xerostomia,pilocarpine/saliva substitutes/glycerin/amifostine
Zollinger-Ellison Syndrome,pantoprazole/omeprazole/famotidine/lansoprazole/ranitidine/rabeprazole/cimetidine/esomeprazole
von Willebrand Disease,desmopressin/antihemophilic factor / von willebrand factor/von willebrand factor
